metric,survey_mapping,types,default_value
feed.soybean_meal.calf_dairy.kgDMI_head_day,C86,float,0
feed.soybean_meal.heifer.kgDMI_head_day,D86,float,0
feed.soybean_meal.cow_milk.kgDMI_head_day,E86,float,0
feed.soybean_meal.cow_dry.kgDMI_head_day,F86,float,0
feed.soybean.calf_dairy.kgDMI_head_day,C87,float,0
feed.soybean.heifer.kgDMI_head_day,D87,float,0
feed.soybean.cow_milk.kgDMI_head_day,E87,float,0
feed.soybean.cow_dry.kgDMI_head_day,F87,float,0
feed.fodder_beet.calf_dairy.kgDMI_head_day,C88,float,0
feed.fodder_beet.heifer.kgDMI_head_day,D88,float,0
feed.fodder_beet.cow_milk.kgDMI_head_day,E88,float,0
feed.fodder_beet.cow_dry.kgDMI_head_day,F88,float,0
feed.sugar_beet_pulp.calf_dairy.kgDMI_head_day,C89,float,0
feed.sugar_beet_pulp.heifer.kgDMI_head_day,D89,float,0
feed.sugar_beet_pulp.cow_milk.kgDMI_head_day,E89,float,0
feed.sugar_beet_pulp.cow_dry.kgDMI_head_day,F89,float,0
feed.molasses.calf_dairy.kgDMI_head_day,C90,float,0
feed.molasses.heifer.kgDMI_head_day,D90,float,0
feed.molasses.cow_milk.kgDMI_head_day,E90,float,0
feed.molasses.cow_dry.kgDMI_head_day,F90,float,0
feed.dried_distillers_grains.calf_dairy.kgDMI_head_day,C91,float,0
feed.dried_distillers_grains.heifer.kgDMI_head_day,D91,float,0
feed.dried_distillers_grains.cow_milk.kgDMI_head_day,E91,float,0
feed.dried_distillers_grains.cow_dry.kgDMI_head_day,F91,float,0
feed.brewers_grain.calf_dairy.kgDMI_head_day,C92,float,0
feed.brewers_grain.heifer.kgDMI_head_day,D92,float,0
feed.brewers_grain.cow_milk.kgDMI_head_day,E92,float,0
feed.brewers_grain.cow_dry.kgDMI_head_day,F92,float,0
feed.other_oil_meal.calf_dairy.kgDMI_head_day,C93,float,0
feed.other_oil_meal.heifer.kgDMI_head_day,D93,float,0
feed.other_oil_meal.cow_milk.kgDMI_head_day,E93,float,0
feed.other_oil_meal.cow_dry.kgDMI_head_day,F93,float,0
feed.mineral_mix.calf_dairy.kgDMI_head_day,C94,float,0
feed.mineral_mix.heifer.kgDMI_head_day,D94,float,0
feed.mineral_mix.cow_milk.kgDMI_head_day,E94,float,0
feed.mineral_mix.cow_dry.kgDMI_head_day,F94,float,0
feed.bypass_fat.calf_dairy.kgDMI_head_day,C95,float,0
feed.bypass_fat.heifer.kgDMI_head_day,D95,float,0
feed.bypass_fat.cow_milk.kgDMI_head_day,E95,float,0
